'Al', 'Zn', 'Mg', 'Cu', 'Si', 'Fe', 'Mn', 'Cr', 'Ti', 'Other', 'Cycle','Temper', 'Precip', 'pH', 'Cl',wf', 'Rate'
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,2,6.15,40,7.3,0.01,-250,0.11
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,5,6.15,40,7.3,0.01,-250,0.08
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,1,-0.45,357,7.05,0,-250,0.21
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,2,-0.45,357,7.05,0,-250,0.01
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,5,-0.45,357,7.05,0,-250,0.02
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,1,22.35,856,5.45,0.01,-250,0.3
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,2,22.35,856,5.45,0.01,-250,0.18
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,3,22.35,856,5.45,0.01,-250,0.18
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,5,22.35,856,5.45,0.01,-250,0.07
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,1,-0.45,357,7.05,0,-250,0.09
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,2,-0.45,357,7.05,0,-250,0.01
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,3,-0.45,357,7.05,0,-250,0.03
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,5,-0.45,357,7.05,0,-250,0.05
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,1,22.7,2051.5,4.8,0.17,-250,3.21
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,2,22.7,2051.5,4.8,0.17,-250,2.32
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,3,22.7,2051.5,4.8,0.17,-250,1.97
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,5,22.7,2051.5,4.8,0.17,-250,1.51
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,1,9.35,556,6,0.01,-250,0.33
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,2,9.35,556,6,0.01,-250,0.13
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,3,9.35,556,6,0.01,-250,0.11
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,1,22.7,2051.5,4.8,0.17,-250,4.9
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,2,22.7,2051.5,4.8,0.17,-250,3.56
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,1,6.4,432,6.55,0,-250,0.11
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,2,6.4,432,6.55,0,-250,0.00001
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,1,6.15,40,7.3,0.01,-250,0.35
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,2,6.15,40,7.3,0.01,-250,0.11
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,1,-0.45,357,7.05,0,-250,0.12
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,2,-0.45,357,7.05,0,-250,0.01
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,1,9.35,556,6,0.01,170,0.09
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,3,9.35,556,6,0.01,170,0.31
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,6,9.35,556,6,0.01,170,0.04
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,1,22.7,2051.5,4.8,0.17,170,0.33
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,3,22.7,2051.5,4.8,0.17,170,0.13
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,6,22.7,2051.5,4.8,0.17,170,0.25
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,1,22.35,856,5.45,0.01,170,0.56
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,3,22.35,856,5.45,0.01,170,0.48
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,6,22.35,856,5.45,0.01,170,0.46
